initialScrape,concatURL,price,totalAddress,bed,bath,sqFoot,img,lat,long,geocoderOuputAddress
/apa/4906493535.html,http://calgary.craigslist.com/apa/4906493535.html,2850,"2139 32 Avenue SW, Calgary, Alberta, Canada",4,3.5,#N/A,http://images.craigslist.org/00404_iABUrJxePqI_600x450.jpg,51.0249,-114.111784,"2139 32 Avenue Southwest, Calgary, AB T2T 1W9, Canada"
/apa/4906415580.html,http://calgary.craigslist.com/apa/4906415580.html,1325,"1735 - 26 Avenue SW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,#N/A,51.030252,-114.101474,"1735 26 Avenue Southwest, Calgary, AB T2T 1C9, Canada"
/apa/4906416041.html,http://calgary.craigslist.com/apa/4906416041.html,1325,"1735 - 26 Avenue SW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,#N/A,51.030252,-114.101474,"1735 26 Avenue Southwest, Calgary, AB T2T 1C9, Canada"
/apa/4906345926.html,http://calgary.craigslist.com/apa/4906345926.html,1000,"Dover Meadow Close S E at 36 Street S E, Calgary, Alberta, Canada",1,1,800,#N/A,51.021116,-113.981544,"36 Street Southeast & Dover Ridge Drive Southeast, Calgary, AB T2B, Canada"
/apa/4906292156.html,http://calgary.craigslist.com/apa/4906292156.html,2400,"1828 111 Ave SW, Calgary, Alberta, Canada",3,3,#N/A,http://images.craigslist.org/00m0m_bKIfl51JOwI_600x450.jpg,50.953802,-114.102315,"1828 111 Avenue Southwest, Calgary, AB T2W 1R5, Canada"
/apa/4906292961.html,http://calgary.craigslist.com/apa/4906292961.html,1490,"10120 Brookpark Blvd SW, Calgary, Alberta, Canada",3,1,#N/A,http://images.craigslist.org/00b0b_gNrYmP2g2XC_600x450.jpg,50.960788,-114.109312,"10120 Brookpark Boulevard Southwest, Calgary, AB T2W 3G3, Canada"
/apa/4906252588.html,http://calgary.craigslist.com/apa/4906252588.html,2350,"15 ave sw, Calgary, Alberta, Canada",2,1.5,1100,http://images.craigslist.org/00O0O_lVsDQABwu9D_600x450.jpg,51.039094,-114.081748,"15 Avenue Southwest, Calgary, AB, Canada"
/apa/4887821298.html,http://calgary.craigslist.com/apa/4887821298.html,1250,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4887822071.html,http://calgary.craigslist.com/apa/4887822071.html,1450,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4906140680.html,http://calgary.craigslist.com/apa/4906140680.html,2350,"1410 - 1 St. SE, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00i0i_3LW7T8zLyoR_600x450.jpg,51.038948,-114.060912,"1410 1 Street Southeast, Calgary, AB T2G 5T7, Canada"
/apa/4905944835.html,http://calgary.craigslist.com/apa/4905944835.html,1160,"2718 14 Street Northwest, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00C0C_eWY0I2sfRLR_600x450.jpg,51.075721,-114.094724,"2718 14 Street Northwest, Calgary, AB T2K 1H7, Canada"
/apa/4896910417.html,http://calgary.craigslist.com/apa/4896910417.html,1,"Closer in, Calgary, Alberta, Canada",1,1,100,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4905808185.html,http://calgary.craigslist.com/apa/4905808185.html,850,"3320-6st NE, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00o0o_65lEqVyBpCI_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4905802672.html,http://calgary.craigslist.com/apa/4905802672.html,1290,"2718 14 Street Northwest, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00t0t_g9wD7NpVFh6_600x450.jpg,51.075721,-114.094724,"2718 14 Street Northwest, Calgary, AB T2K 1H7, Canada"
/apa/4905483698.html,http://calgary.craigslist.com/apa/4905483698.html,600,", Calgary, Alberta, Canada",1,1,850,http://images.craigslist.org/01313_ep46TcY4rO3_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4905486945.html,http://calgary.craigslist.com/apa/4905486945.html,2300,"456 Quarry Way SE, Calgary, Alberta, Canada",2,2.5,#N/A,http://images.craigslist.org/00s0s_ebgYrbinAbN_600x450.jpg,50.958145,-114.0103,"456 Quarry Villas Southeast, Calgary, AB T2Z, Canada"
/apa/4867365172.html,http://calgary.craigslist.com/apa/4867365172.html,1150,"815 - 4th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00T0T_2PgurY4wRjn_600x450.jpg,51.049613,-114.079351,"815 4 Avenue Southwest, Calgary, AB T2P 0K5, Canada"
/apa/4879236413.html,http://calgary.craigslist.com/apa/4879236413.html,1050,"815 - 4th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00G0G_90Tmj0wo9nr_600x450.jpg,51.049613,-114.079351,"815 4 Avenue Southwest, Calgary, AB T2P 0K5, Canada"
/apa/4867381600.html,http://calgary.craigslist.com/apa/4867381600.html,1450,"815 - 4th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00E0E_a666AL58GZ5_600x450.jpg,51.049613,-114.079351,"815 4 Avenue Southwest, Calgary, AB T2P 0K5, Canada"
/apa/4867514942.html,http://calgary.craigslist.com/apa/4867514942.html,1250,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4867425097.html,http://calgary.craigslist.com/apa/4867425097.html,1500,"1305 - 15th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00606_cJi7RfaI5kd_600x450.jpg,51.039263,-114.091887,"1305 15 Avenue Southwest, Calgary, AB T3C 3V9, Canada"
/apa/4887253590.html,http://calgary.craigslist.com/apa/4887253590.html,1450,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4887250927.html,http://calgary.craigslist.com/apa/4887250927.html,1250,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4905189348.html,http://calgary.craigslist.com/apa/4905189348.html,1000,", Calgary, Alberta, Canada",1,1,#N/A,#N/A,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4904867522.html,http://calgary.craigslist.com/apa/4904867522.html,1599,"14th ave SW at 4th street, Calgary, Alberta, Canada",2,1,912,http://images.craigslist.org/00404_gAlXffEi482_600x450.jpg,51.03978,-114.071521,"4 Street Southwest & 14 Avenue Southwest, Calgary, AB T2R, Canada"
/apa/4904864441.html,http://calgary.craigslist.com/apa/4904864441.html,950,"Skyview Ranch, Calgary, Alberta, Canada",2,1,980,#N/A,51.162906,-113.957062,"Skyview Ranch Road, Calgary, AB T3N, Canada"
/apa/4904728265.html,http://calgary.craigslist.com/apa/4904728265.html,1500,"bedwood hill ne at bedwood hill ne, Calgary, Alberta, Canada",2,1,1000,http://images.craigslist.org/00Z0Z_1q2j0XDyPnE_600x450.jpg,51.126475,-114.059879,"Bedwood Road Northeast & Bedwood Hill Northeast, Calgary, AB T3K, Canada"
/apa/4898553241.html,http://calgary.craigslist.com/apa/4898553241.html,1450,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4898377170.html,http://calgary.craigslist.com/apa/4898377170.html,1250,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4904652275.html,http://calgary.craigslist.com/apa/4904652275.html,995,"733 44 AVE NW, Calgary, Alberta, Canada",2,1,800,http://images.craigslist.org/00d0d_2HZKuV0Wcdo_600x450.jpg,51.09335,-114.078845,"733 44 Avenue Northwest, Calgary, AB T2K 0J5, Canada"
/apa/4904601720.html,http://calgary.craigslist.com/apa/4904601720.html,1175,"4646 - 73 Street NW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,#N/A,51.09347,-114.198313,"4646 73 Street Northwest, Calgary, AB T3B 2M4, Canada"
/apa/4904601670.html,http://calgary.craigslist.com/apa/4904601670.html,1175,"4646 - 73 Street NW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,#N/A,51.09347,-114.198313,"4646 73 Street Northwest, Calgary, AB T3B 2M4, Canada"
/apa/4904601882.html,http://calgary.craigslist.com/apa/4904601882.html,1250,"1419 - 17 Avenue NW, Calgary, AB, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00V0V_cYUpyOqG67F_600x450.jpg,51.067844,-114.093887,"1419 17 Avenue Northwest, Calgary, AB T2M 0R3, Canada"
/apa/4904601841.html,http://calgary.craigslist.com/apa/4904601841.html,1250,"1419 - 17 Avenue NW, Calgary, AB, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00V0V_cYUpyOqG67F_600x450.jpg,51.067844,-114.093887,"1419 17 Avenue Northwest, Calgary, AB T2M 0R3, Canada"
/apa/4904601817.html,http://calgary.craigslist.com/apa/4904601817.html,1400,"1419 - 17 Avenue NW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00V0V_cYUpyOqG67F_600x450.jpg,51.067844,-114.093887,"1419 17 Avenue Northwest, Calgary, AB T2M 0R3, Canada"
/apa/4904598826.html,http://calgary.craigslist.com/apa/4904598826.html,1325,"412 Huntsville Cres. NW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00B0B_keEXE0aSc1g_600x450.jpg,51.114605,-114.068219,"412 Huntsville Crescent Northwest, Calgary, AB T2K 5E1, Canada"
/apa/4904602003.html,http://calgary.craigslist.com/apa/4904602003.html,1325,"412 Huntsville Cres. NW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00B0B_keEXE0aSc1g_600x450.jpg,51.114605,-114.068219,"412 Huntsville Crescent Northwest, Calgary, AB T2K 5E1, Canada"
/apa/4904601791.html,http://calgary.craigslist.com/apa/4904601791.html,1400,"1419 - 17 Avenue NW, Calgary, AB, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00V0V_cYUpyOqG67F_600x450.jpg,51.067844,-114.093887,"1419 17 Avenue Northwest, Calgary, AB T2M 0R3, Canada"
/apa/4904554153.html,http://calgary.craigslist.com/apa/4904554153.html,1600,"8880 horton rd sw, Calgary, Alberta, Canada",1,1,778,http://images.craigslist.org/00L0L_264xmQ19Icx_600x450.jpg,50.974481,-114.074113,"8880 Horton Road Southwest, Calgary, AB T2V 2X4, Canada"
/apa/4904526111.html,http://calgary.craigslist.com/apa/4904526111.html,900,"780 Northmount Dr. NW, Calgary, Alberta, Canada",1,#N/A,#N/A,#N/A,51.083272,-114.095664,"780 Northmount Drive Northwest, Calgary, AB T2L 0A2, Canada"
/apa/4897663743.html,http://calgary.craigslist.com/apa/4897663743.html,1550,"110 panatella Park NW, Calgary, Alberta, Canada",3,1.5,#N/A,http://images.craigslist.org/00w0w_lxq3QHjjYo_600x450.jpg,51.166377,-114.069491,"110 Panatella Park Northwest, Calgary, AB T3K 6L5, Canada"
/apa/4896355130.html,http://calgary.craigslist.com/apa/4896355130.html,1450,"Bankview, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/01212_jnvD9Dkdz2W_600x450.jpg,51.034208,-114.102512,"Bankview, Calgary, AB, Canada"
/apa/4880553227.html,http://calgary.craigslist.com/apa/4880553227.html,1200,"187 Penbrooke Close SE, Calgary, Alberta, Canada",3,1,1000,http://images.craigslist.org/00z0z_89kkLvIPsgr_600x450.jpg,51.044884,-113.940295,"187 Penbrooke Close Southeast, Calgary, AB T2A 3N9, Canada"
/apa/4880564538.html,http://calgary.craigslist.com/apa/4880564538.html,1195,"307 Goddard Ave NE, Calgary, Alberta, Canada",4,1,1300,http://images.craigslist.org/00202_691cphv1QdE_600x450.jpg,51.097656,-114.0568,"307 Goddard Avenue Northeast, Calgary, AB T2K 3T8, Canada"
/apa/4896377239.html,http://calgary.craigslist.com/apa/4896377239.html,2100,"205 Riverfront Ave SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/01414_k8BJedDcuDI_600x450.jpg,51.052285,-114.065152,"205 Riverfront Avenue Southwest, Calgary, AB T2P, Canada"
/apa/4880533637.html,http://calgary.craigslist.com/apa/4880533637.html,1695,", Calgary, Alberta, Canada",3,2.5,1326,http://images.craigslist.org/00v0v_fWRe5E2RGGt_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4897791248.html,http://calgary.craigslist.com/apa/4897791248.html,1750,"4256 40 AVE NW, Calgary, Alberta, Canada",5,2,#N/A,http://images.craigslist.org/00101_hezOmqQE8og_600x450.jpg,51.088315,-114.150737,"4256 40 Avenue Northwest, Calgary, AB T3A 0X1, Canada"
/apa/4899505016.html,http://calgary.craigslist.com/apa/4899505016.html,3000,", Calgary, Alberta, Canada",6,3.5,4000,http://images.craigslist.org/00b0b_h5pPpLOKUh3_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4904183236.html,http://calgary.craigslist.com/apa/4904183236.html,1800,"Silverado, Calgary, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00t0t_2ON2F1DS1lZ_600x450.jpg,50.881498,-114.078932,"Silverado Way, Calgary, AB T2X, Canada"
/apa/4904101608.html,http://calgary.craigslist.com/apa/4904101608.html,3000,"211 13 Ave SE, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00O0O_6Ob1pVQjY1Y_600x450.jpg,51.040392,-114.060849,"211 13 Avenue Southeast, Calgary, AB T2G 1E1, Canada"
/apa/4899878541.html,http://calgary.craigslist.com/apa/4899878541.html,1200,"CENTRE ST NE at CENTRE ST & BEDDINGTON NE, Calgary, Alberta, Canada",2,1,1300,http://images.craigslist.org/01010_2oOGZ6Cl8iY_600x450.jpg,51.125135,-114.071364,"Centre Street Northeast & Beddington Boulevard Northeast, Calgary, AB T2K, Canada"
/apa/4904097069.html,http://calgary.craigslist.com/apa/4904097069.html,1050,"Applewood, Calgary, Alberta, Canada",2,1.5,1100,http://images.craigslist.org/00b0b_ibhDa9Ha9AH_600x450.jpg,51.046673,-113.931827,"Applewood Drive Southeast, Calgary, AB T2A, Canada"
/apa/4903959814.html,http://calgary.craigslist.com/apa/4903959814.html,2700,"533 14th Ave. SW, Calgary, Alberta, Canada",2,2,1538,http://images.craigslist.org/00S0S_4EPd4Y8zJNm_600x450.jpg,51.039794,-114.073344,"533 14 Avenue Southwest, Calgary, AB T2R 0M7, Canada"
/apa/4898445591.html,http://calgary.craigslist.com/apa/4898445591.html,2500,"8880 Horton Road SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00f0f_1hsXHJkGJMH_600x450.jpg,50.974481,-114.074113,"8880 Horton Road Southwest, Calgary, AB T2V 2X4, Canada"
/apa/4897571557.html,http://calgary.craigslist.com/apa/4897571557.html,1900,"3104 109 Ave SW, Calgary, Alberta, Canada",3,1.5,#N/A,http://images.craigslist.org/00404_bHZ7Lc5h102_600x450.jpg,50.955921,-114.12991,"3104 109 Avenue Southwest, Calgary, AB T2W 3H2, Canada"
/apa/4898573988.html,http://calgary.craigslist.com/apa/4898573988.html,3200,"1730- 5 Street SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00Z0Z_gCw2pjK5A2o_600x450.jpg,51.003006,-114.07648,"1730 5 Street Southwest, Calgary, AB T2V 4Z9, Canada"
/apa/4877476448.html,http://calgary.craigslist.com/apa/4877476448.html,2900,"36 Elgin Meadow Manor SE, Calgary, Alberta, Canada",3,2,#N/A,http://images.craigslist.org/00606_iLrp7PynlAn_600x450.jpg,50.9073,-113.956413,"36 Elgin Meadows Manor Southeast, Calgary, AB T2Z, Canada"
/apa/4877485526.html,http://calgary.craigslist.com/apa/4877485526.html,1900,"738-3 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00V0V_hcCP7nPvXqW_600x450.jpg,51.050855,-114.077663,"738 3 Avenue Southwest, Calgary, AB T2P 0G7, Canada"
/apa/4898729886.html,http://calgary.craigslist.com/apa/4898729886.html,2400,"8710 HORTON ROAD SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00K0K_1dMxXtKteoc_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada"
/apa/4898773058.html,http://calgary.craigslist.com/apa/4898773058.html,2900,"8710 Horton Road SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00q0q_gK9QXDrlhcI_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada"
/apa/4895595756.html,http://calgary.craigslist.com/apa/4895595756.html,3200,"215-13 Ave SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00k0k_c1SUn7BdDTB_600x450.jpg,51.040307,-114.066198,"215 13 Avenue Southwest, Calgary, AB T2R 0W5, Canada"
/apa/4895539319.html,http://calgary.craigslist.com/apa/4895539319.html,1950,"328 21 Ave., Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00J0J_awfOhnOiRkK_600x450.jpg,51.034448,-114.070356,"328 21 Avenue Southwest, Calgary, AB T2S 0G8, Canada"
/apa/4895520976.html,http://calgary.craigslist.com/apa/4895520976.html,2900,"211 13th ave SE, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00C0C_gEzELqY7Zhk_600x450.jpg,51.040392,-114.060849,"211 13 Avenue Southeast, Calgary, AB T2G 1E1, Canada"
/apa/4884492941.html,http://calgary.craigslist.com/apa/4884492941.html,2800,"8880 HORTON ROAD SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00v0v_5RpopTCxi5H_600x450.jpg,50.974481,-114.074113,"8880 Horton Road Southwest, Calgary, AB T2V 2X4, Canada"
/apa/4875807672.html,http://calgary.craigslist.com/apa/4875807672.html,2900,"55 Spruce Place SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00F0F_2dcpWlBfyzU_600x450.jpg,51.043139,-114.137401,"55 Spruce Place Southwest, Calgary, AB T3C 3X5, Canada"
/apa/4864263444.html,http://calgary.craigslist.com/apa/4864263444.html,2800,"8710 Horton Road SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00C0C_hN5n2P7d90k_600x450.jpg,50.975899,-114.073514,"8710 Horton Road Southwest, Calgary, AB T2V 0P7, Canada"
/apa/4868688611.html,http://calgary.craigslist.com/apa/4868688611.html,2200,"738 - 3 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00V0V_hcCP7nPvXqW_600x450.jpg,51.050855,-114.077663,"738 3 Avenue Southwest, Calgary, AB T2P 0G7, Canada"
/apa/4868642590.html,http://calgary.craigslist.com/apa/4868642590.html,4000,"222, RIVERFRONT AVE SW, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00n0n_aCDMjlkyZYs_600x450.jpg,51.052502,-114.06691,"222 Riverfront Avenue Southwest, Calgary, AB T2P 4V9, Canada"
/apa/4877445588.html,http://calgary.craigslist.com/apa/4877445588.html,1900,"738-3 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00x0x_jB9welCU8pk_600x450.jpg,51.050855,-114.077663,"738 3 Avenue Southwest, Calgary, AB T2P 0G7, Canada"
/apa/4877513255.html,http://calgary.craigslist.com/apa/4877513255.html,2600,"188 15TH AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00n0n_jt2QeDB4FIT_600x450.jpg,51.038663,-114.065895,"188 15 Avenue Southwest, Calgary, AB T2R 0P5, Canada"
/apa/4877619881.html,http://calgary.craigslist.com/apa/4877619881.html,2300,"1121-6 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00M0M_8IC5kkTr15C_600x450.jpg,51.0479,-114.088076,"1121 6 Avenue Southwest, Calgary, AB T2P 5J4, Canada"
/apa/4888872501.html,http://calgary.craigslist.com/apa/4888872501.html,2500,"188-15 AVE SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00K0K_2fNYY4xOUWq_600x450.jpg,51.038663,-114.065895,"188 15 Avenue Southwest, Calgary, AB T2R 0P5, Canada"
/apa/4900683744.html,http://calgary.craigslist.com/apa/4900683744.html,1450,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00x0x_jXvxh24FrQj_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4900681795.html,http://calgary.craigslist.com/apa/4900681795.html,1250,"1711 - 25th Avenue SW, Calgary, Alberta, Canada",1,1,#N/A,http://images.craigslist.org/00v0v_hKu1CNfjded_600x450.jpg,51.031325,-114.100193,"1711 25 Avenue Southwest, Calgary, AB T2T, Canada"
/apa/4862849053.html,http://calgary.craigslist.com/apa/4862849053.html,925,"St Andrew Heights, Calgary, Alberta, Canada",1,1,#N/A,#N/A,51.065012,-114.126257,"St. Andrews Heights, Calgary, AB, Canada"
/apa/4903570411.html,http://calgary.craigslist.com/apa/4903570411.html,1400,"103 Marlyn place Ne, Calgary, Alberta, Canada",3,2,1150,http://images.craigslist.org/00303_g3EyewC0g6u_600x450.jpg,51.066205,-113.975496,"103 Marlyn Place Northeast, Calgary, AB T2A 3K9, Canada"
/apa/4903385485.html,http://calgary.craigslist.com/apa/4903385485.html,875,"52st N.E. at McKnight Ave, Calgary, Alberta, Canada",1,1,#N/A,#N/A,51.075,-113.958542,"52 Street Northeast, Calgary, AB, Canada"
/apa/4903244708.html,http://calgary.craigslist.com/apa/4903244708.html,1600,"1513- 26th Avenue SW, Calgary, Alberta, Canada",1,1,800,http://images.craigslist.org/00b0b_7ODeG3jOshl_600x450.jpg,51.030432,-114.095559,"1513 26 Avenue Southwest, Calgary, AB T2T 1C4, Canada"
/apa/4903198997.html,http://calgary.craigslist.com/apa/4903198997.html,1306,"ZIP T2S 2E9 . 1730 5A ST sw. CALGARY, Calgary, Alberta, Canada",2,2,#N/A,http://images.craigslist.org/00I0I_10iyn55jxuu_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4903136804.html,http://calgary.craigslist.com/apa/4903136804.html,1440,"Calgary AB, Calgary, Alberta, Canada",4,4,2072,http://images.craigslist.org/00606_9fEbLXljh7E_600x450.jpg,51.048224,-114.069746,"University of Alberta - Calgary Centre, 333 5 Avenue Southwest, Calgary, AB T2P 3B6, Canada"
/apa/4864318983.html,http://calgary.craigslist.com/apa/4864318983.html,1775,", Calgary, Alberta, Canada",3,1,#N/A,http://images.craigslist.org/00x0x_5VTdeqnZXN1_600x450.jpg,51.048615,-114.070846,"Calgary, AB, Canada"
/apa/4902622330.html,http://calgary.craigslist.com/apa/4902622330.html,1000,"6 Avenue Southeast, Calgary, Alberta, Canada",2,1,#N/A,http://images.craigslist.org/00V0V_2GfOZyTR2wP_600x450.jpg,51.047233,-114.055502,"6 Avenue Southeast, Calgary, AB, Canada"
/apa/4902351535.html,http://calgary.craigslist.com/apa/4902351535.html,1200,"415 30th Avenue NW, Calgary, Alberta, Canada",2,1,1000,#N/A,51.079445,-114.068393,"415 30 Avenue Northwest, Calgary, AB T2M 2N5, Canada"
/apa/4895911642.html,http://calgary.craigslist.com/apa/4895911642.html,1395,"15th Ave NE at 6th Street NE, Calgary, Alberta, Canada",2,1,1200,http://images.craigslist.org/00Z0Z_ly4Lj8Y7cjf_600x450.jpg,51.065961,-114.048335,"6 Street Northeast & 15 Avenue Northeast, Calgary, AB T2E, Canada"
/apa/4902092775.html,http://calgary.craigslist.com/apa/4902092775.html,1395,"15th Ave NE at 6th Street NE, Calgary, Alberta, Canada",2,1,1200,http://images.craigslist.org/00Z0Z_ly4Lj8Y7cjf_600x450.jpg,51.065961,-114.048335,"6 Street Northeast & 15 Avenue Northeast, Calgary, AB T2E, Canada"
